,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
475,DDA Flats Kalkaji,,,nan
476,dwarka sector 17,,,8658.35
477,Inderpuri,,,661.4
478,Indira Park,,,nan
479,Madanpur Khadar Village,,,nan
480,Old Delhi,,,10747.13
481,Phase 1 Om Vihar Road,,,nan
482,Sector 4 Rohini,,,9500
483,Sri Chand Park Matiala,,,nan
484,Vinod Nagar North,,,5776.38
485,WEA,,,18607.86
486,Alaknanda Gangotri Enclave,,,14507.67
487,Ashram,,,14973.26
488,Baljeet Nagar,,,2921.35
489,Block DP Poorvi Pitampura,,,nan
490,Budh Vihar,,,2555.56
491,Devli Nai Basti,,,416.67
492,Govindpura,,,5873.02
493,Gurgaon Faridabad Road,,,6126.01
494,Jain Road,,,nan
495,Jaitpur Extension Part II Khad,,,nan
496,Kalkaji Main,,,14000
497,Main Chhatarpur Road,,,nan
498,Malcha Marg,,,nan
499,Meethapur Palla Road,,,nan
500,Near Dwarka sec 21 metro stati,,,5101.33
501,Roop Nagar,,,27247.96
502,Sector 36,,,nan
503,Sirifort Road,,,38888.89
504,Solanki Road,,,nan
505,Subhash Park Extn New Delhi,,,4400
506,Vishwas Park Extn Uttam Nagar,,,3500
507,Wazirabad,,,4117.65
508,Babarpur,,,7222.22
509,Bali Nagar,,,4444.44
510,Bamnoli,,,735.29
511,Bhalswa,,,3461.54
512,Block A Vishwakarma Park,,,nan
513,Block M Vishwakarma Park,,,nan
514,dda flat,,,9622.96
515,Dwarka Sector 11 Pocket 3,,,5630.64
516,E 2 Vasant Kunj,,,5641.03
517,Green park Extn,,,nan
518,Jamia Nagar Gaffar Manzil Exte,,,nan
519,Madangir,,,441.92
520,Masjid moth,,,14571.43
521,Mathura Road Badarpur,,,nan
522,Mathura Road Sarita Vihar,,,9105.22
523,Mayfair Gardens,,,nan
524,Meera Bagh,,,8346.59
525,Nehru Enclave,,,nan
526,Netaji Subhash Place,,,20357.14
527,New Kondli,,,1087.99
528,Punjabi Bagh Extension,,,nan
529,Sector 11 Dwarka Pocket 2,,,8394.06
530,Sector 15A,,,18636.36
531,Shakarpur Khas,,,nan
532,Shanti Kunj Main,,,nan
533,Swasthya Vihar,,,14204.55
534,Uttam Nagar Nawada,,,nan
535,Abul Fazal Enclave,,,3466.67
536,Ali Gaon,,,nan
537,Amritpuri,,,nan
538,Azadpur,,,nan
539,Batla House Jamia Nagar,,,nan
540,Central Secretariat,,,16216.22
541,Chirag enclave,,,nan
542,Delhi Apartments,,,1152.93
543,Derawal Nagar,,,8171.6
544,Dr Mukherjee Nagar West Bhai P,,,nan
545,Dwarka Sector 12 Pocket 4,,,9145.82
546,Dwarka Sector 16 Main Road,,,8284.02
547,Friends Colony West,,,nan
548,Gopal Nagar,,,nan
549,Jain Park Om Vihar,,,nan
550,Kalindi Colony,,,nan
551,Ladosarai,,,nan
552,Okhla Village,,,nan
553,Paschim Vihar Main,,,10952.38
554,Patparganj Road,,,nan
555,Radhey Shyam Park,,,nan
556,S Block Road,,,nan
557,Safdarjung Enclave Block A 2,,,nan
558,Sector 6 Dwarka Palam Vihar,,,11319.5
559,Shivaji Park,,,nan
560,Sushant Lok Delhi,,,3459.87
561,Vani Vihar Delhi,,,nan
562,Vikash Marg,,,nan
563,Vikash Marg Road,,,nan
564,Vinod Nagar East,,,474.07
565,10 Sector Dwarka,,,8200.93
566,Aali Village,,,nan
567,B K Dutt Colony,,,21912.35
568,Ballabgarh Sector 6,,,nan
569,Bhagwati Vihar,,,2888.89
570,Block A,,,11785.71
571,Block F Vishwakarma Park,,,nan
572,Delhi Ajmer Expressway,,,8208.33
573,Gadaipur,,,nan
574,Gali Number 4,,,nan
575,Jagriti Enclave Shreshtha Viha,,,20790.44
576,Kalindi Kunj Mithapur Road,,,nan
577,Kundli,,,5177.13
578,Loknayak Puram,,,5765.43
579,Mangolpuri,,,nan
580,Mansarovar Park,,,7849.56
581,Mayur Vihar III,,,810.86
582,Mehrauli Badarpur Road,,,nan
583,Okhla Vihar,,,4888.89
584,Outram Lines,,,nan
585,Panchsheel Park South,,,nan
586,Pitampura KP Block,,,nan
587,Prithviraj Road,,,nan
588,Pushpanjali Enclave,,,nan
589,Ram Garh,,,nan
590,Ranjeet Nagar,,,10909.09
591,Sainik Vihar,,,nan
592,Sector 15 Dwarka,,,nan
593,Shyam Vihar Phase1,,,4637.25
594,Tank Road,,,nan
595,Vikas Nagar,,,nan
596,Anupam Garden 10th Lane,,,9523.81
597,Bhiwadi,,,3696.78
598,Block A1 Chattarpur,,,3750
599,C Block Janakpuri Road,,,11313.32
600,Daheli Sujanpur,,,nan
601,Dal Mill Road,,,nan
602,DCM Road,,,35115.7
603,Deepali,,,7393.76
604,Delhi Jaipur Expressway,,,14122.11
605,Delhi Metro Depot,,,nan
606,Dilshad Colony,,,8714.29
607,Dwarka Sector 15,,,8216.37
608,Gali Number 2,,,nan
609,Ismailpur,,,nan
