,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
1526,Kucha Pati Ram,,,nan
1527,Kushak No 2,,,nan
1528,Lajpat Nagar Metro Station,,,nan
1529,Lajwanti Garden,,,nan
1530,LIC Colony,,,nan
1531,Link Road IP Extension,,,5483.87
1532,Lodhi Road Quarters,,,9523.81
1533,M Block Greater Kailash I,,,nan
1534,M G Road,,,nan
1535,M.B. Road,,,nan
1536,Madanpur Dabas,,,nan
1537,Mahaveer Nagar Kotla Mubarakpu,,,24429.97
1538,Mahavir Enclave I Mahavir Encl,,,nan
1539,Mahavir Vihar,,,nan
1540,Mahindra Park,,,nan
1541,Mahipalpur Rangpuri Road,,,2820.51
1542,Mahrauli,,,3518.52
1543,Main Mathura Road,,,nan
1544,Main Sainik Enclave Road,,,nan
1545,Major Bhola Nath Colony,,,nan
1546,Major District Road 123,,,nan
1547,manaskunj,,,nan
1548,Manohar Nagar,,,nan
1549,Masjid Moth Phase 2,,,10769.23
1550,Masjid Moth Road,,,nan
1551,Mayapuri Industrial Area II,,,nan
1552,Mayapuri Industrial Area Phase,,,nan
1553,Mayur Vihar Phase1,,,nan
1554,Meenakshi Garden,,,12213.74
1555,Mitraon,,,nan
1556,Model Town Phase3,,,nan
1557,Mohammadpur,,,nan
1558,Mohan Baba Nagar New Delhi,,,nan
1559,Mori Gate,,,nan
1560,Moti Bagh Industrial Area,,,nan
1561,Mukerjee Park,,,nan
1562,Mukherji Park New Delhi,,,nan
1563,Mukund Vihar Road,,,nan
1564,Nagli Vihar Extn I,,,nan
1565,Najafgarh Dhansa Road,,,nan
1566,Najafgarh Nangloi Road,,,nan
1567,Namdhari Colony,,,nan
1568,Nanakpura,,,nan
1569,Nand Ram Park Delhi,,,nan
1570,Nand Vihar,,,nan
1571,Nangal Dewat Road,,,nan
1572,Nangli Vihar,,,nan
1573,Nangloi Extension,,,nan
1574,Nangloi Saiyed Village,,,5491.7
1575,Naradana,,,nan
1576,Narain Vihar,,,nan
1577,Naraina Village,,,nan
1578,Narela Mandi,,,nan
1579,Nasirpur Road,,,nan
1580,Nathupur Road,,,10000
1581,Nathupura,,,nan
1582,Neb Valley,,,nan
1583,Nehru Enclave East,,,nan
1584,Nehru Nagar Footover Bridge,,,nan
1585,Nelson Mandela Marg,,,20000
1586,New Ashok Nagar Road,,,nan
1587,New Basti,,,nan
1588,New Colony,,,nan
1589,New Colony Khirki Extension,,,nan
1590,New Govindpura,,,6666.67
1591,New Jaffrabad,,,nan
1592,New Krishna Nagar,,,5000
1593,New Moti Nagar,,,nan
1594,New Pragatesheel Apartment,,,7586.21
1595,Nilothi Extn,,,nan
1596,Nirmal Vihar,,,nan
1597,Niti Vihar,,,nan
1598,Noida Link Road,,,nan
1599,Northern Peripheral Road,,,6372.09
1600,Okhla Industrial Estate Phase ,,,nan
1601,Okhla Road,,,nan
1602,Old Delhi Gurgaon Road,,,nan
1603,Old Janki Puri,,,nan
1604,Old Khaira Road,,,nan
1605,Old Roshanpura Delhi,,,nan
1606,Om Vihar Extension Om Vihar,,,nan
1607,Om Vihar Extn Om Vihar,,,4943.75
1608,Om Vihar Link Road,,,nan
1609,Om Vihar Phase 4,,,4750
1610,Palam Colony Raj Nagar 1,,,nan
1611,Palam Vihar Bijwasan Road,,,nan
1612,Palam Village,,,nan
1613,Panchsheel Garden Naveen Shahd,,,nan
1614,Panchsheel Marg,,,nan
1615,Panchsheel Park Block N,,,nan
1616,Panchsheel Park North,,,nan
1617,Pandit Park,,,nan
1618,Pandwala Kalan Road,,,nan
1619,Pansali Village,,,nan
1620,Parliament Street,,,nan
1621,Part 1,,,nan
1622,Part 2,,,nan
1623,Paryatan Vihar,,,9671.18
1624,Patel Garden,,,nan
1625,Pervesh Nagar,,,nan
1626,Phase 1 Om Vihar,,,nan
1627,Phase 5 Om Vihar,,,nan
1628,Phase 6 Aya Nagar Extension,,,nan
1629,Phase I,,,nan
1630,Plot Alpha Sahibabad Industria,,,nan
1631,Pocket 1 Sector 25,,,nan
1632,Pocket 1 Sector C,,,nan
1633,Pocket 1 Sector D,,,nan
1634,Pocket 10 Sector B,,,18000
1635,Pocket 10B,,,nan
1636,Pocket 5 Sector C,,,nan
1637,Pocket 52,,,nan
1638,Pocket 6 Sector 2,,,12500
1639,Pocket 6 Sector C,,,nan
1640,Pocket 8 Sector D,,,nan
1641,Pocket 8 Sector24,,,nan
1642,Pocket 9,,,16250
1643,Pocket 9 Sector B,,,8181.82
1644,Pocket A Sector 17,,,nan
1645,Pocket A Sector 17 Dwarka,,,8181.82
1646,Pocket B and C,,,nan
1647,Pocket C SectorA,,,nan
1648,Pocket DG 2,,,nan
1649,Pocket GH2 District Park,,,nan
1650,Pocket3 Sector24,,,nan
1651,Police Lines,,,18181.82
1652,Polo Garden Road,,,nan
1653,Pontoon Bridge,,,80000
1654,Poorti Apartments,,,nan
1655,Poorvi Shalimar Bagh,,,nan
1656,Prakash Mohalla Amritpuri,,,nan
1657,Prem Narain Road,,,nan
1658,Prem Vihar,,,nan
1659,Prime Chowk,,,8823.53
1660,Pundrik Vihar,,,nan
1661,Punjabi Bagh Apartment,,,nan
1662,Punjabi Market Road,,,nan
1663,Pusa Road,,,nan
1664,Pushp Vihar,,,nan
1665,Pushta Road,,,nan
1666,Puth Khurd Village,,,3428.57
1667,Qazi ka Bagh Desu Colony,,,nan
1668,Qutub Minar Metro Station,,,nan
1669,Qutub Vihar Phase 2,,,nan
1670,R Block Rajender Nagar Part 1,,,nan
1671,Radhey Shyam Park Extension,,,nan
1672,Railway Colony,,,nan
1673,Raj Nagar Extension,,,nan
1674,Raja Park,,,nan
1675,Rajapuri East,,,nan
1676,Rajhans Vihar,,,nan
1677,Raju Parak Extension,,,nan
1678,Ram Colony Chattarpur,,,5555.56
1679,Ram Kumar Marg,,,nan
1680,Ram Prastha Colony,,,nan
1681,Ramphal Chowk Road,,,nan
1682,Rampura Marg,,,9259.26
1683,Rangpuri,,,nan
1684,Ranhola Extesion,,,nan
1685,Rani Jhansi Road,,,nan
1686,Ratiya Marg,,,nan
1687,Red Cross Road,,,nan
1688,Rentz Place,,,nan
1689,Residential Flat Dharam Pura,,,3259.81
1690,Residential Flat East of Kaila,,,11555.56
1691,Residential Flat Pocket A,,,2800
1692,Residential Flat Pocket D,,,2777.78
1693,Residential Flat Uttam Nagar,,,3777.78
1694,Residential Floor Drayaganj,,,5149.79
1695,Residential Floor East Ram Nag,,,5288.16
1696,Residential Floor Om Vihar,,,3442.13
1697,Residential Floor Ram Nagar,,,3790.38
1698,Residential Floor Tilak Nagar,,,4582.82
1699,Residential Floor Uttam Nagar,,,4382.47
1700,Residential FloorBlockA sector,,,841.24
1701,Residential FloorPaschim Vihar,,,8131.84
1702,Residential House New Delhi,,,nan
1703,Residential House Uttam Nagar,,,2812.5
1704,Residential HouseChittaranjan ,,,nan
1705,Rewla Khanpur,,,nan
1706,Rishabh Vihar Karkardooma,,,nan
1707,Road Leading to Mehrauli Marke,,,nan
1708,Road Number 1,,,6646.97
1709,Road Number 8,,,nan
1710,Rocky Area,,,3333.33
1711,Rohini Avantika,,,nan
1712,Rohini Vijay Vihar,,,nan
1713,Rohit Kunj,,,nan
1714,Rohit Kunj Sandesh Vihar,,,nan
1715,S S Mota Singh Marg,,,nan
1716,Sabzi Mandi Old,,,nan
1717,Sadar Bazar,,,nan
1718,Sadhna Enclave,,,nan
1719,Sagarpur East,,,nan
1720,Sagarpur Palam Road,,,22222.22
1721,Saini Enclave,,,nan
1722,Saket Road,,,nan
1723,Samman Bazar Bhogal,,,nan
1724,Sampla Sonepat Road,,,nan
1725,Sanjay Gandhi Transport Nagar,,,nan
1726,Sant Nagar Marg,,,nan
1727,Satya Niketan,,,nan
1728,Sawroop Nagar,,,nan
1729,SBlock Gali,,,nan
1730,School Lane,,,nan
1731,sec 18 b,,,nan
1732,SEC 6 POCKET 1,,,8750
1733,Sector 10 Rohini,,,nan
1734,Sector 112,,,3188.01
1735,Sector 12 Pocket 7,,,8166.67
1736,Sector 13,,,8750
1737,Sector 17,,,8421.05
1738,Sector 17 Pocket D,,,nan
1739,Sector 17A,,,nan
1740,Sector 18 A,,,7500
1741,Sector 18 Rohini,,,8947.37
1742,Sector 18B Road,,,9642.86
1743,Sector 2,,,nan
1744,Sector 21,,,4200
1745,Sector 21 Dwarka New Delhi,,,8452.38
1746,Sector 23 Road,,,9393.94
1747,Sector 25 Dwarka,,,4368.42
1748,Sector 26 Rohini,,,nan
1749,Sector 29,,,nan
1750,Sector 31 Rohini,,,nan
1751,Sector 32 Rohini,,,nan
1752,Sector 37,,,5241.64
1753,Sector 38 Rohini,,,nan
1754,Sector 3G,,,nan
1755,Sector 41,,,nan
1756,Sector 5 Market Pocket 1,,,nan
1757,Sector 5 Rohini,,,nan
1758,Sector 50,,,nan
1759,Sector 56,,,nan
1760,Sector 7A,,,nan
1761,Sector 8,,,nan
1762,Sector B,,,17142.86
1763,Sector C Pocket 8,,,nan
1764,Sector D1,,,nan
1765,Sector-20 Rohini,,,nan
1766,Sector21 Rohini,,,nan
1767,Sector8 Rohini,,,nan
1768,Seth Sarai,,,nan
1769,Shadipur Metro Station,,,nan
1770,Shahbad Daulatpur Village,,,nan
1771,Shakti Khand 3,,,nan
1772,Shalimar Bagh AG Block,,,nan
1773,Shalimar Park,,,nan
1774,Sham Nagar,,,nan
1775,Shankar Garden,,,10540.54
1776,Shankar Road,,,nan
1777,Shanti Park,,,nan
1778,Sharda Puri,,,nan
1779,Sheikh Sarai II,,,nan
1780,Sheikh Sarai Inner Lane,,,16206.9
1781,Shiv Colony New Delhi,,,nan
1782,Shiv Park,,,nan
1783,Shivaji Enclave,,,nan
1784,SHIVAJI VIHAR,,,nan
1785,Shooting Range Road,,,nan
1786,Shubham Enclave Paschim vihar,,,nan
1787,Shukkar Bazar Road,,,nan
1788,Shyam Kunj,,,nan
1789,Shyam Nagar,,,nan
1790,Shyam Park Delhi,,,nan
1791,Shyam Vihar II,,,nan
1792,Siddharth Enclave,,,12500
1793,Siddhartha Enclave,,,11818.18
1794,Siddhartha Extension,,,9200
1795,Sidhartha Nagar,,,nan
1796,Sidhatri Enclave,,,nan
1797,Som Bazar Road,,,nan
1798,Sonia Vihar Extension,,,nan
1799,Sonia Vihar Pushta Road,,,nan
1800,Srinagar Garden,,,nan
1801,State Bank Colony,,,nan
1802,Street Number 3,,,nan
1803,Street Number 4,,,nan
1804,Subhash Street,,,nan
1805,Sudershan Park,,,nan
1806,Sukkar Bazar Road,,,nan
1807,Supreme Enclave,,,nan
1808,Suraj Vihar,,,5625
1809,Surya Nagar,,,nan
1810,Sushant Vihar,,,3499.69
1811,Swami Shradhanand Marg,,,nan
1812,Swami Vivekananda Road,,,nan
1813,Swaroop Nagar Extension,,,nan
1814,Swarup Nagar,,,nan
1815,Swatantra Nagar,,,nan
1816,Tara Nagar,,,nan
1817,Teachers Colony,,,nan
1818,Telibara,,,5333.33
1819,Tikona Park Road,,,nan
1820,Tikri Kalan,,,nan
1821,Tilangpur Kotla,,,nan
1822,Timarpur,,,916.39
1823,Tomur Colony,,,nan
1824,Tooth Sarai,,,nan
1825,Tughlaqabad Village,,,nan
1826,Umar Masjid Road,,,nan
1827,V e e r Apartments Road,,,8387.1
1828,Vasant Enclave Road,,,12000
1829,Vasundhra CGHS,,,nan
1830,Vigyan Vihar,,,nan
1831,Vijay Mandal Enclave,,,12500
1832,Vijay Nagar Road,,,nan
1833,Vijay Park,,,nan
1834,Vijay Vihar Phase I,,,nan
1835,Vikas Kunj,,,nan
1836,Vikaspuri Flyover,,,7222.22
1837,Virat Marg,,,nan
1838,Vishwas Park Extn Jain Colony,,,nan
1839,Vivek Vihar Phase II Delhi,,,nan
1840,Wazir Nagar,,,nan
1841,Wazirabad Road,,,nan
1842,West End Colony,,,nan
1843,West Patel Nagar Road,,,nan
1844,West Rohtash Nagar,,,nan
1845,West Shalimar Bagh,,,nan
1846,Western Avenue Sainik,,,nan
1847,Yamuna Vihar,,,nan
1848,Yusuf Sarai,,,nan
1849,1 Lane Johri Farm,,,nan
1850,1 Palam Village Road,,,nan
1851,105 Sector 22 Road,,,nan
1852,106 Sector 22 Road,,,nan
1853,110 Sector 22 Road,,,nan
1854,34 b Golden Enclave,,,nan
1855,40 Feet Road,,,nan
1856,47 Sector 22 Road,,,nan
1857,60 Feet Road,,,nan
1858,65 Sector 22 Road,,,nan
1859,77 Sector 6 Road,,,nan
1860,92 Sector 22 Road,,,nan
1861,A 1 Block,,,nan
1862,A 2 Block,,,nan
1863,A 6 Block,,,nan
1864,A z a d Nagar Road,,,nan
1865,A1 Block Road,,,nan
1866,A2 Janak Puri,,,nan
1867,A5 Block,,,nan
1868,ABlock Main Road,,,nan
1869,Abul Fazal Enclave II New Delh,,,nan
1870,Abul Fazal Part II,,,nan
1871,Abul Fazal Road,,,nan
1872,AC Block Shalimar Bagh,,,nan
1873,AD Block Pitampura,,,nan
1874,AD Block Shalimar Bagh,,,nan
1875,Adarsh Enclave,,,nan
1876,Adarsh Nagar Extension,,,nan
1877,Adhchini Village,,,nan
1878,Adhchini Village Road,,,nan
1879,Adhyapak Nagar,,,nan
1880,Adhyapak Nagar Delhi,,,nan
1881,Aditi Apartments,,,nan
1882,Ahinsha Enclave,,,nan
1883,AIIMS Campus,,,nan
1884,Air India Colony,,,nan
1885,Airforce Station,,,nan
1886,Ajay Enclave,,,nan
1887,Ajit Nagar,,,nan
1888,Ajit Vihar,,,nan
1889,Akbarpur Majra,,,nan
1890,Akshardham Temple,,,nan
1891,Alampur,,,nan
1892,Aligarh,,,nan
1893,Aman Vihar,,,nan
1894,amar colony e block,,,nan
1895,amar colony market,,,nan
1896,Amar Vihar,,,nan
1897,Ambedkar Nagar,,,nan
1898,Ambedkar Place,,,nan
1899,Ambience Island DLF Phase 3,,,nan
1900,Ambika Enclave,,,nan
1901,Ambika Enclave Delhi,,,nan
1902,Ambrahi Village,,,nan
1903,Amrita Shergill Marg,,,nan
1904,Anand Kunj,,,nan
1905,Anand Parbat Industrial Area,,,nan
1906,Anant Ram Dairy,,,nan
1907,Anarkali Colony,,,nan
1908,Anarkali Colony North,,,nan
1909,Anarkali Colony South,,,nan
1910,Ankur Enclave,,,nan
1911,Ansal Villas,,,nan
1912,Ansari Nagar East,,,nan
1913,Ansari Nagar West,,,nan
1914,Ansari Road,,,nan
1915,Anup Nagar Delhi,,,nan
1916,Aram Park,,,nan
1917,Arjun Gali,,,nan
1918,Arjun Park,,,nan
1919,Arjun Vihar,,,nan
1920,Arsiwalla Villa,,,nan
1921,Arya Pura,,,nan
1922,Asaf Ali Road,,,nan
1923,Asalatpur Khadar,,,nan
1924,Asalatpur Village,,,nan
1925,Asha Park,,,nan
1926,Ashok Nagar Extension,,,nan
1927,Ashok Nagar Mandoli,,,nan
1928,Ashok Vihar II,,,nan
1929,Asola,,,nan
1930,Asola Extention,,,nan
1931,Asola Farm Road,,,nan
1932,Asola Farms,,,nan
1933,Asola Wild Life Sanctuary,,,nan
1934,Aurbindo,,,nan
1935,Aurobindo Marg,,,nan
1936,Aurungzeb Road,,,nan
1937,Avantika Delhi,,,nan
1938,Avantika New Delhi,,,nan
1939,Avatar Vihar,,,nan
1940,Avenue Number 4,,,nan
1941,Awas Vikas,,,nan
1942,Aya Nagar Baba Mohalla,,,nan
1943,Aya Nagar Bandh Road,,,nan
1944,Aya Nagar Extension,,,nan
1945,Aya Nagar Extension G Block,,,nan
1946,Aya Nagar Extn,,,nan
1947,Ayur Vigyan Nagar,,,nan
1948,Ayurvigyan Nagar,,,nan
1949,Azad Nagar,,,nan
1950,Azad Nagar East,,,nan
1951,Azad Nagar West,,,nan
1952,B 2 Block,,,nan
1953,B 7,,,nan
1954,B a n k Enclave Road,,,nan
1955,B1 Road,,,nan
1956,B2A Block Block B 2B,,,nan
1957,B3,,,nan
1958,B5 Road,,,nan
1959,B6,,,nan
1960,Baba Colony,,,nan
1961,Baba Farid Puri,,,nan
1962,Baba Mohalla,,,nan
1963,Babarpur Village,,,nan
1964,Babu Nagar,,,nan
1965,Bada Hindu Rao Road,,,nan
1966,Badam Singh Market,,,nan
1967,badhwar apartment,,,nan
1968,Badiwala Kua,,,nan
1969,Bagem Pur,,,nan
1970,Bagh Kare Khan,,,nan
1971,Baghpat Road,,,nan
1972,Bahadur Shah Zafar Marg,,,nan
1973,BAHAWALPUR APARTMENT,,,nan
1974,Bajaj Enclave,,,nan
1975,Bajitpur Thakran,,,nan
1976,Bakarwala,,,nan
1977,Bakhtawar Pur Village,,,nan
1978,Bakkar Wala Colony,,,nan
1979,Balbir Nagar,,,nan
1980,Balbir Nagar Extension,,,nan
1981,Balraj Khanna Marg,,,nan
1982,balur appartment,,,nan
1983,Bangali Colony West Sant Nagar,,,nan
1984,Bangla Sahib Road,,,nan
1985,Bank Colony,,,nan
1986,Bankner Village,,,nan
1987,Bans Mandi,,,nan
1988,Bapu Dham,,,nan
1989,Barwala Road,,,nan
1990,Basant Gaon,,,nan
1991,Basant Lok,,,nan
1992,Basti Harphool Singh,,,nan
1993,Bawana Road,,,nan
1994,Bazar Lane,,,nan
1995,Beadon Pura,,,nan
1996,Begam Vihar,,,nan
1997,Begampur Extension,,,nan
1998,Bengali Colony,,,nan
1999,Bengali Colony Delhi,,,nan
2000,Beri Wala Bagh,,,nan
2001,Bhagat Colony,,,nan
2002,Bhagat Enclave,,,nan
2003,Bhagat Vihar,,,nan
2004,Bhagwan Buddha Housing Corpora,,,nan
2005,Bhagwan Das Road,,,nan
2006,Bhagya Vihar,,,nan
2007,Bharat Vihar Road,,,nan
2008,Bharati Artist Colony,,,nan
2009,Bhargava Marg,,,nan
2010,Bharola,,,nan
2011,Bharthal Village,,,nan
2012,Bhawana Colony,,,nan
2013,Bhawani Kunj New Delhi,,,nan
2014,Bhera Enclave,,,nan
2015,Bhikaji Cama,,,nan
2016,Bhikaji Cama Place,,,nan
2017,Bhilswa,,,nan
2018,Bhim Basti,,,nan
2019,Bhim Nagri,,,nan
2020,Bhism Pitamah Road,,,nan
2021,Bhola Nagar,,,nan
2022,Bholanath Nagar Marg,,,nan
2023,Bhopura,,,nan
2024,Bhorgarh,,,nan
2025,Biharipur,,,nan
2026,Biharipur Extension,,,nan
2027,Biharipur Village,,,nan
2028,Binda Pur Road,,,nan
2029,Bipin Chandra Pal Marg,,,nan
2030,Bk 1 Block,,,nan
2031,Block 34,,,nan
2032,Block 37 Rajendra Park,,,nan
2033,Block A 1,,,nan
2034,Block A 1 Nauroji Nagar,,,nan
2035,Block A 3,,,nan
2036,Block A Lajpat Nagar 1 Road,,,nan
2037,Block A2 Janakpuri,,,nan
2038,Block A3,,,nan
2039,Block AN Poorbi Shalimar Bag,,,nan
2040,Block B G K 1,,,nan
2041,Block B Sector 17,,,nan
2042,Block B Shivaji Enclave,,,nan
2043,Block B Wazirpur Industrial Ar,,,nan
2044,Block B1,,,nan
2045,Block BD Dakshini Pitampura,,,nan
2046,Block BF,,,nan
2047,Block BG 7,,,nan
2048,Block C Road,,,nan
2049,Block C1,,,nan
2050,Block C2A,,,nan
2051,Block C4F,,,nan
2052,Block C4G Gate Number 1 Road,,,nan
2053,Block C5C,,,nan
2054,Block D Friends Colony East,,,nan
2055,Block D Kailash Colony,,,nan
2056,Block E Greater Kailash Road N,,,nan
2057,Block E Pandav Nagar Road,,,nan
2058,Block F Block H,,,nan
2059,Block G Ram Nagar,,,nan
2060,Block GH 13 GH 13,,,nan
2061,Block GH 14,,,nan
2062,Block GH 8,,,nan
2063,Block H,,,nan
2064,Block J Pushkar Enclave,,,nan
2065,Block O,,,nan
2066,Block Q Green Park Extension,,,nan
2067,Block T,,,nan
2068,Block UP Poorvi Pitampura,,,nan
2069,Block W,,,nan
2070,Bodella Market Budella,,,nan
2071,Bodhraj Kohli Marg,,,nan
2072,Brahampuri,,,nan
2073,Brahman Mohalla,,,nan
2074,Brahmapuri,,,nan
2075,BSF Camp Chawala,,,nan
2076,BShah Zafar Marg,,,nan
2077,Buddh Vihar,,,nan
2078,Budella,,,nan
2079,Budhh Vihar Market,,,nan
2080,Budhpur,,,nan
2081,Budhpur Bijapur Village,,,nan
2082,Builder Apartment,,,nan
2083,Bungalow Road,,,nan
2084,Bunker Colony Delhi,,,nan
2085,Burari Village Marg,,,nan
2086,C block,,,nan
2087,C C Colony,,,nan
2088,C P Block Road,,,nan
2089,C1A Block,,,nan
2090,C2C Block,,,nan
2091,C2D Road,,,nan
2092,C4B BLOCK,,,nan
2093,Cariappa Marg,,,nan
2094,cc block hari nagar,,,nan
2095,CGHS Colony,,,nan
2096,Chaman Park,,,nan
2097,Chaman Vihar,,,nan
2098,Chanakya Place II,,,nan
2099,Chanchal Park,,,nan
2100,Chand Bagh,,,nan
2101,Chand Nagar,,,nan
2102,Chand Vihar,,,nan
2103,Chandan Hola,,,nan
2104,Chandan Vihar,,,nan
2105,Chander Lok,,,nan
2106,Chander Nagar,,,nan
2107,Chander Nagar Street,,,nan
2108,Chander Vihar,,,nan
2109,Chander Vihar,,,nan
2110,Chander Vihar Main,,,nan
2111,Chanderlok,,,nan
2112,Chandni Mahal,,,nan
2113,Chandra Nagar,,,nan
2114,Chandra Shekhar Azad Colony,,,nan
2115,Chaukhandi,,,nan
2116,Chaukhandi Road,,,nan
2117,Chetan Vihar Block Z,,,nan
2118,Chhajjupur,,,nan
2119,Chhatarpur Enclave Phase 2,,,nan
2120,ChhawlaGoyala Road,,,nan
2121,Chhoti Subji Mandi,,,nan
2122,Chikamberpur Village,,,nan
2123,Chirag Delhi Main Road,,,nan
2124,Chitla Gate,,,nan
2125,Chokhandi,,,nan
2126,Chowk Nai Basti,,,nan
2127,Christian Colony,,,nan
2128,Chuna Mandi,,,nan
2129,Church Mall Road,,,nan
2130,Clock Tower Chowk,,,nan
2131,Club Road,,,nan
2132,Club Road Flyover,,,nan
2133,Commonwealth Games Village 201,,,nan
2134,Cooperganj,,,nan
2135,Cottage Enclave,,,nan
2136,D1C Block Lajwanti Garden,,,nan
2137,D6,,,nan
2138,Dabri Extension,,,nan
2139,Dabri Mor Flyover,,,nan
2140,Dabri Village,,,nan
2141,Dada Dev Mandir Road,,,nan
2142,Dalan Mohalla,,,nan
2143,Dariyapur Khurd,,,nan
2144,Daryapur,,,nan
2145,Daryapur Road,,,nan
2146,Dasghara,,,nan
2147,Dayal Bagh,,,nan
2148,Dayalpur,,,nan
2149,DCM Railway Colony,,,nan
2150,DDA Colony,,,nan
2151,dda flat sec 13 a,,,nan
2152,DDA Flats,,,nan
2153,DDA FLATS KHIRKI,,,nan
2154,Dda lig flats pocket c molarba,,,nan
2155,DDA Market,,,nan
2156,dda mult sec 18,,,nan
2157,DDA PLOTS DWARKA,,,nan
2158,DDAFlat Road,,,nan
2159,Deep Enclave,,,nan
2160,Deep Vihar,,,nan
2161,Deep Vihar,,,nan
2162,Deepak Vihar,,,nan
2163,Deepali,,,nan
2164,Deepali Tarun Sharda Niketan,,,nan
2165,Deepanjali,,,nan
2166,Deer Park,,,nan
2167,Defence Enclave,,,nan
2168,Delhi Avenue,,,nan
2169,Delhi Bypass Road,,,nan
2170,Delhi Chauma Village,,,nan
2171,Delhi Cove,,,nan
2172,Delhi Drive,,,nan
2173,DELHI DWARKA,,,nan
2174,Delhi Gaur City 1,,,nan
2175,Delhi Kolkata Highway,,,nan
2176,Delhi Mathura Road,,,nan
2177,Delhi Metropolitan Area,,,nan
2178,Delhi Public School Road,,,nan
2179,Delhi Rasoolpur Nawada,,,nan
2180,Delhi Road,,,nan
2181,Delhi Technological University,,,nan
2182,Delhi Udyog Vihar Phase IV,,,nan
2183,Delhi Wave City Center,,,nan
2184,DelhiFaridabad Metro,,,nan
2185,DelhiMeerut Road,,,nan
2186,Desu Colony,,,nan
2187,Desu Colony,,,nan
2188,Dev Kunj,,,nan
2189,Dev Nagar,,,nan
2190,Devika Towers,,,nan
2191,DG 2 Road,,,nan
2192,Dhakka Extension Road,,,nan
2193,Dhansa Road,,,nan
2194,Dharam Colony Delhi,,,nan
2195,Dhimar Mohalla Madanpur Khadar,,,nan
2196,Dhirpur,,,nan
2197,Dhirpur Village,,,nan
2198,Dichaon Kalan,,,nan
2199,Dichaon Kalan Hiran Kudna Road,,,nan
2200,dilli vaas,,,nan
2201,Dilshad Garden Pocket E,,,nan
2202,Dindarpur,,,nan
2203,Dindarpur Shanti Vihar,,,nan
2204,Dinpur Lal Dora Extn Dinpur La,,,nan
2205,DIZ Area,,,nan
2206,DLF 3 Phase,,,nan
2207,DLF City Phase III,,,nan
2208,DLF Phase 1,,,nan
2209,DLF Prashant Vihar,,,nan
2210,DMRC,,,nan
2211,Doctor Jose P Rizal Marg,,,nan
2212,Doctor KN Katju Marg,,,nan
2213,Double Storey,,,nan
2214,Dr Lohia Industrial Area,,,nan
2215,Dr. Ambedkar Nagar,,,nan
2216,DSIDC Industrial Area Narela,,,nan
2217,Duggal Housing,,,nan
2218,Dundahera Road,,,nan
2219,Durga Mandir Marg,,,nan
2220,Durga Park,,,nan
2221,Durga Park Colony,,,nan
2222,Durga Vihar,,,nan
2223,Durgapuri Extension Delhi,,,nan
2224,DVB Colony,,,nan
2225,Dwarka 12 Sector,,,nan
2226,Dwarka Extension,,,nan
2227,Dwarka Extension Delhi,,,nan
2228,Dwarka Goyla Dairy Road,,,nan
2229,Dwarka L Zone,,,nan
2230,Dwarka Link Road,,,nan
2231,DWARKA MOR RAMA PARK,,,nan
2232,Dwarka sec 23 Near Emabassy,,,nan
2233,dwarka sec19 bharat vadna apt,,,nan
2234,Dwarka Sector 1 Pocket 2,,,nan
2235,dwarka sector 2,,,nan
2236,Dwarka Sector 26,,,nan
2237,Dwarka Sector 9 Pocket 2,,,nan
2238,E a s t Block Extension Road,,,nan
2239,East Babarpur,,,nan
2240,East Delhi Extension,,,nan
2241,East Gokalpur,,,nan
2242,East Gokulpur,,,nan
2243,East Kidwai Nagar,,,nan
2244,East Krishna Nagar,,,nan
2245,East Moti Bagh,,,nan
2246,East Nathu Colony,,,nan
2247,East of Kailash G Block,,,nan
2248,East Park Road,,,nan
2249,East Punjabi Bagh Manohar Park,,,nan
2250,East Ram Nagar,,,nan
2251,East Rohtas Nagar,,,nan
2252,East Sadatpur Extension,,,nan
2253,Ekta Enclave,,,nan
2254,ELDECO Green City,,,nan
2255,Enclave 3,,,nan
2256,Engineer Enclave,,,nan
2257,Engineers Enclave Delhi,,,nan
2258,Eros Garden,,,nan
2259,Extension Colony,,,nan
2260,F Block Raj Nagar Part 2,,,nan
2261,F i r e Brigade Lane,,,nan
2262,Faiz Road,,,nan
2263,Farash Bazar,,,nan
2264,Fashion Street,,,nan
2265,Fatehpuri,,,nan
2266,Fetehpur Beri,,,nan
2267,Fine Home Apartments,,,nan
2268,Firozeshah Road,,,nan
2269,Furnished apartment,,,nan
2270,Gacharya Kriplani Road,,,nan
2271,Gadpur Farm,,,nan
2272,Gaffar Manzil Extension New De,,,nan
2273,Gaffar Manzil Extn,,,nan
2274,Gali No 16,,,nan
2275,Gali Number 1,,,nan
2276,Gali Number 3rd,,,nan
2277,Gali Number 6,,,nan
2278,Gali Number 7,,,nan
2279,Gandhi Colony,,,nan
2280,Gandhi Market,,,nan
2281,Gandhi Vihar,,,nan
2282,Ganesh Nagar 1,,,nan
2283,Ganesh Nagar II,,,nan
2284,Ganeshpura,,,nan
2285,Gang Nath Chowk,,,nan
2286,Ganga Ram Gali,,,nan
2287,Gangotri Apartment,,,nan
2288,Gangotri Enclave,,,nan
2289,Gangotri Enclave Mandakini Enc,,,nan
2290,Gangotri Enclave Road,,,nan
2291,Garhi Jharia Maria,,,nan
2292,Gari Extension,,,nan
2293,Gautam Colony,,,nan
